target,condition,model,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2
total,BASE,Baseline,15399.89,23793.84,0.13,17610.4,22116.29,0.53
total,A,Linear,15377.53,23707.75,0.14,17534.26,21994.4,0.54
total,A,RandomForest,19807.37,24397.5,0.09,23006.34,28471.52,0.23
total,A,XGBoost,20699.51,25168.72,0.03,23546.19,28738.3,0.21
total,B,Linear,13266.44,16155.79,0.6,13643.62,16262.05,0.75
total,B,RandomForest,16650.6,19369.28,0.42,20266.53,23537.19,0.47
total,B,XGBoost,13161.83,16640.29,0.58,14787.2,17453.54,0.71
total,C,Linear,14023.56,21598.05,0.28,15924.9,21409.38,0.56
total,C,RandomForest,20231.84,24796.71,0.06,18380.74,23748.73,0.46
total,C,XGBoost,17986.14,23519.47,0.15,20030.68,24332.97,0.44
total,D,Linear,12783.01,15525.14,0.63,12520.23,15706.8,0.76
total,D,RandomForest,15058.43,17849.43,0.51,13390.44,17203.98,0.72
total,D,XGBoost,10125.47,13429.06,0.72,12148.65,16643.42,0.74
member,BASE,Baseline,11940.27,18660.52,0.25,13976.97,17581.19,0.56
member,A,Linear,11784.6,18477.32,0.26,13880.78,17253.35,0.58
member,A,RandomForest,14866.62,18235.88,0.28,19614.32,23812.7,0.2
member,A,XGBoost,15417.84,18512.19,0.26,19992.2,23466.73,0.22
member,B,Linear,9976.09,12625.76,0.66,10920.78,13566.76,0.74
member,B,RandomForest,13257.07,15892.29,0.45,17238.45,19742.55,0.45
member,B,XGBoost,8228.31,10891.22,0.74,7820.39,10735.89,0.84
member,C,Linear,11013.32,16204.47,0.43,12372.27,16219.71,0.63
member,C,RandomForest,13783.46,17994.22,0.3,14110.42,18048.3,0.54
member,C,XGBoost,14233.74,17949.57,0.3,15241.25,18916.58,0.49
member,D,Linear,9380.4,11746.08,0.7,9898.64,12650.98,0.77
member,D,RandomForest,12281.21,14945.09,0.52,11567.5,15245.37,0.67
member,D,XGBoost,8191.43,10874.96,0.74,10606.28,14695.75,0.69
casual,BASE,Baseline,4646.11,6629.46,0.35,4856.68,6239.87,0.4
casual,A,Linear,4623.93,6543.72,0.37,4879.2,6275.0,0.39
casual,A,RandomForest,4768.58,6473.93,0.38,5002.14,6941.85,0.26
casual,A,XGBoost,5661.08,7012.18,0.27,5052.14,7250.84,0.19
casual,B,Linear,4492.08,5471.55,0.56,3992.99,4819.06,0.64
casual,B,RandomForest,4074.76,5085.79,0.62,3108.2,4469.67,0.69
casual,B,XGBoost,3795.47,4680.38,0.68,2628.81,3588.71,0.8
casual,C,Linear,4282.68,6019.97,0.46,4379.47,6033.27,0.44
casual,C,RandomForest,4416.26,6072.28,0.45,3916.67,5733.65,0.49
casual,C,XGBoost,4824.36,6467.59,0.38,4812.83,6726.89,0.3
casual,D,Linear,3917.65,4965.77,0.64,3507.05,4592.12,0.67
casual,D,RandomForest,3768.05,4887.92,0.65,3224.37,4738.71,0.65
casual,D,XGBoost,3512.27,4447.44,0.71,3052.25,4198.22,0.73
